STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN,TOBS
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930101,0,283,50,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930102,0,100,78,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930103,0,89,78,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930104,0,89,67,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930105,0,83,61,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930106,0,83,56,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930107,0,83,61,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930108,0,78,50,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930109,0,89,44,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930110,0,89,44,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930111,0,128,56,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930112,0,117,56,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930113,0,150,56,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930114,0,156,83,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930115,91,144,100,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930116,46,278,78,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930117,0,311,67,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930118,0,183,50,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930119,0,189,44,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930120,0,156,39,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930121,0,89,56,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930122,0,83,50,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930123,0,72,44,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930124,0,44,33,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930125,0,56,17,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930126,86,111,44,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930127,267,178,100,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930128,107,156,56,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930129,13,117,94,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930130,183,111,44,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930131,114,239,28,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930201,0,244,0,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930202,36,167,44,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930203,36,111,78,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930204,51,206,83,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930205,160,278,67,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930206,10,239,39,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930207,0,117,39,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930208,213,122,67,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930209,112,111,78,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930210,86,144,72,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930211,8,111,78,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930212,8,244,11,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930213,0,133,39,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930214,0,211,33,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930215,0,250,39,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930216,0,200,56,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930217,0,272,78,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930218,0,289,78,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930219,0,289,78,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930220,0,283,106,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930221,0,289,78,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930222,0,261,83,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930223,0,283,72,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930224,0,289,111,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930225,0,294,83,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930226,0,283,72,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930227,0,306,161,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930228,0,267,56,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930301,0,250,72,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930302,0,306,72,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930303,0,200,100,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930304,15,144,89,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930305,91,222,67,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930306,0,244,67,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930307,0,156,78,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930308,155,261,72,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930309,0,233,56,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930310,8,89,67,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930311,373,122,67,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930312,25,272,-9999,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930313,0,239,61,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930314,0,133,78,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930315,99,189,67,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930316,15,200,89,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930317,0,144,100,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930318,5,156,111,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930319,104,189,100,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930320,36,200,133,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930321,23,267,89,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930322,36,222,78,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930323,0,133,78,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930324,10,178,100,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930325,0,267,100,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930326,5,317,117,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930327,0,311,111,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930328,0,317,117,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930329,0,300,133,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930330,0,200,144,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930331,0,289,78,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930401,0,256,89,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930402,0,244,67,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930403,0,244,100,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930404,0,239,206,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930405,0,183,128,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930406,163,211,89,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930407,8,172,61,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930408,10,189,100,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930409,5,211,78,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930410,8,233,67,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930411,0,161,83,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930412,10,217,61,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930413,0,244,67,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930414,0,217,83,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930415,0,289,89,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930416,0,283,139,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930417,0,278,100,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930418,0,250,83,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930419,0,278,100,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930420,0,289,111,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930421,0,289,156,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930422,10,239,128,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930423,0,233,78,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930424,0,222,78,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930425,0,228,72,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930426,0,244,67,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930427,0,189,100,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930428,0,189,67,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930429,0,250,61,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930430,0,261,83,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930501,0,267,89,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930502,0,228,128,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930503,10,244,100,-9999
GHCND:USC00042294,DAVIS 2 WSW EXPERIMENTAL FARM CA US,18930504,0,222,100,-9999
