STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN,TOBS
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930101,104,67,-33,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930102,0,72,-22,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930103,10,-22,-139,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930104,0,-67,-144,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930105,0,-33,-94,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930106,20,-44,-117,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930107,8,-50,-117,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930108,10,-61,-122,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930109,20,-39,-128,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930110,15,-67,-211,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930111,0,-133,-211,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930112,25,-100,-183,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930113,15,-122,-189,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930114,15,-122,-178,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930115,3,-128,-161,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930116,0,-111,-233,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930117,0,-56,-244,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930118,0,-83,-194,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930119,3,-28,-100,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930120,0,-67,-100,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930121,8,-44,-106,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930122,0,-11,-161,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930123,0,33,-44,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930124,3,0,-56,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930125,0,-6,-56,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930126,0,61,-83,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930127,0,0,-100,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930128,0,0,-100,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930129,25,67,-22,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930130,25,-22,-78,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930131,25,-33,-78,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930201,107,28,-78,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930202,36,0,-83,-9999
GHCND:USC00304174,ITHACA CORNELL UNIVERSITY NY US,18930203,8,50,-78,-9999
