STATION,STATION_NAME,DATE,PRCP,TMAX,TMIN
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480501,7.6,11.7,4.4
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480502,0,13.9,1.1
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480503,0,15.6,0.6
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480504,0,17.8,2.2
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480505,0.3,11.7,1.1
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480506,0,19.4,0.6
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480507,0,21.1,4.4
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480508,6.4,13.3,1.1
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480509,6.1,2.8,0
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480510,1.8,5.6,-0.6
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480511,0,12.8,-1.7
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480512,0,15.6,1.1
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480513,0,23.3,2.2
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480514,0,21.7,6.1
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480515,0,21.1,3.3
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480516,0,22.2,4.4
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480517,0,32.2,8.9
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480518,0,32.2,18.3
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480519,0,32.8,16.7
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480520,0,22.8,15
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480521,0,25,13.3
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480522,1.8,30,13.9
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480523,14,26.7,13.3
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480524,0,19.4,10
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480525,0,24.4,7.8
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480526,0,26.1,9.4
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480527,0,16.7,8.3
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480528,0.3,11.1,5
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480529,4.1,8.3,4.4
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480530,0.3,12.2,7.8
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480531,0,25.6,10.6
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480601,0,28.9,13.3
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480602,0,30,16.7
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480603,15.2,25.6,15.6
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480604,0,25.6,11.1
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480605,0.3,23.9,14.4
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480606,0.3,26.1,12.8
GHCND:USW00024090,RAPID CITY REGIONAL AIRPORT SD US,19480607,0,29.4,12.8
