"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200","V201","V202","V203","V204","V205","V206","V207","V208","V209","V210","V211","V212","V213","V214","V215","V216","V217","V218","V219","V220","V221","V222","V223","V224","V225","V226","V227","V228","V229","V230","V231","V232","V233","V234","V235","V236","V237","V238","V239","V240","V241","V242","V243","V244","V245","V246","V247","V248","V249","V250","V251","V252","V253","V254","V255","V256","V257","V258","V259","V260","V261","V262","V263","V264","V265","V266","V267","V268","V269","V270","V271","V272","V273","V274","V275","V276","V277","V278","V279","V280","V281","V282","V283","V284","V285","V286","V287","V288","V289","V290","V291","V292","V293","V294","V295","V296","V297","V298","V299","V300","V301","V302","V303","V304","V305","V306","V307","V308","V309","V310","V311","V312","V313","V314","V315","V316","V317","V318","V319","V320","V321","V322","V323","V324","V325","V326","V327","V328","V329","V330","V331","V332","V333","V334","V335","V336","V337","V338","V339","V340","V341","V342","V343","V344","V345","V346","V347","V348","V349","V350","V351","V352","V353","V354","V355","V356","V357","V358","V359","V360","V361","V362","V363","V364","V365","V366","V367","V368","V369","V370","V371","V372","V373","V374","V375","V376","V377","V378","V379","V380","V381","V382","V383","V384","V385","V386","V387","V388","V389","V390","V391","V392","V393","V394","V395","V396","V397","V398","V399","V400","V401","V402","V403","V404","V405","V406","V407","V408","V409","V410","V411","V412","V413","V414","V415","V416","V417","V418","V419","V420","V421","V422","V423","V424","V425","V426","V427","V428","V429","V430","V431","V432","V433","V434","V435","V436","V437","V438","V439","V440","V441","V442","V443","V444","V445","V446","V447","V448","V449","V450","V451","V452","V453","V454","V455","V456","V457","V458","V459","V460","V461","V462","V463","V464","V465","V466","V467","V468","V469","V470","V471","V472","V473","V474","V475","V476","V477","V478","V479","V480","V481","V482","V483","V484","V485","V486","V487","V488","V489","V490","V491","V492","V493","V494","V495","V496","V497","V498","V499","V500"
"1",75,73,79,10,36,71,91,40,81,53,8,22,6,35,6,7,57,37,3,81,60,36,63,29,18,26,9,3,1,5,22,9,1,93,83,48,43,27,56,84,41,10,76,24,45,30,71,57,53,8,70,48,6,72,101,45,100,82,101,24,44,51,29,85,14,82,26,82,94,68,81,58,22,93,8,15,18,100,21,42,8,76,69,17,54,24,80,16,74,75,76,6,72,66,74,61,9,61,8,26,40,26,90,4,58,71,42,39,95,28,13,41,66,26,29,40,37,94,59,37,63,84,60,3,44,20,55,54,18,26,72,61,4,39,51,28,34,35,31,64,75,30,26,88,78,9,63,39,62,8,70,27,9,32,21,37,91,1,72,24,37,5,14,33,64,71,100,31,63,57,27,54,34,22,99,88,72,10,46,45,3,71,62,96,20,13,84,84,59,38,41,78,85,80,79,77,6,56,93,53,42,94,70,12,44,16,5,3,98,7,93,10,92,97,97,46,9,48,15,51,36,42,42,9,64,52,93,64,22,4,25,64,26,68,45,40,37,90,51,42,23,82,80,50,78,53,33,96,87,82,67,79,101,4,4,60,79,22,85,6,2,32,14,41,11,26,3,64,81,35,6,62,44,24,44,72,71,96,4,1,7,67,2,98,10,58,9,51,85,13,69,84,60,7,26,66,21,89,62,90,17,31,17,75,99,33,31,58,53,20,21,21,84,44,63,14,15,52,88,14,98,44,18,52,43,89,94,43,37,2,7,7,44,12,46,14,68,59,20,42,48,8,59,43,73,38,81,29,13,64,75,70,69,32,63,32,73,95,44,16,44,89,64,19,86,62,86,82,7,72,22,34,96,76,79,52,51,46,4,52,95,57,28,81,90,50,19,40,9,81,43,1,80,88,48,87,6,36,69,13,70,25,64,19,66,1,59,99,32,21,46,58,28,84,16,89,12,3,49,3,4,20,12,3,65,14,44,48,88,41,51,22,10,28,89,51,12,35,27,27,64,17,43,37,26,99,83,69,30,58,74,86,27,30,32,101,70,13,77,71,37,89,64,51,13,65,29,68,53,9,20,98,84,95,84,35,26,93,8,18,47,89,82,53,22,43,84,15,11,55,66,27,42,55,27,20,100,62,9,24
"2",84,24,60,19,36,79,36,53,51,51,94,48,41,33,11,87,56,39,53,40,85,81,87,22,16,57,50,32,5,51,4,32,50,63,88,60,31,67,49,50,58,5,21,57,48,74,41,53,25,64,28,70,43,78,49,83,6,19,71,97,53,88,53,58,10,4,12,96,51,13,92,49,96,39,68,80,78,24,14,87,5,64,66,55,23,38,98,86,93,49,82,53,43,28,101,13,90,9,81,93,13,60,48,49,62,39,6,7,42,45,24,63,84,97,1,6,63,42,60,45,74,37,49,75,55,37,64,96,88,22,56,85,64,43,75,30,78,44,3,84,1,56,71,34,19,19,52,3,10,23,32,40,7,76,82,73,14,41,92,82,76,59,17,22,10,6,23,62,58,57,9,4,56,39,83,42,53,60,41,89,39,16,74,81,71,60,9,84,1,18,16,37,100,8,87,93,101,22,79,65,64,66,12,50,16,68,97,7,94,95,93,52,36,78,82,81,32,94,41,17,12,73,53,77,32,93,34,9,90,17,67,45,58,42,13,86,75,40,62,53,26,85,20,43,88,39,30,87,8,4,49,46,74,87,15,48,90,66,48,100,51,76,4,17,46,45,34,3,18,96,11,22,87,64,35,47,13,64,99,62,51,68,94,80,16,3,68,78,93,75,15,57,14,48,45,46,11,35,94,75,21,38,65,30,60,88,93,86,21,33,53,9,59,10,67,80,58,10,96,83,77,70,45,63,21,38,45,101,96,64,50,15,28,25,98,8,41,67,36,52,6,75,70,93,14,91,71,9,42,6,50,44,25,4,25,23,30,25,88,6,74,78,86,56,80,53,6,55,81,94,20,67,31,82,20,37,63,49,56,35,79,96,22,3,86,94,26,68,59,28,62,88,23,89,5,80,16,53,50,34,70,87,56,100,24,62,90,32,91,67,3,74,54,57,21,59,7,72,12,21,58,4,68,100,16,95,64,12,4,77,84,77,89,10,38,57,30,84,42,7,24,100,76,99,2,46,52,44,49,42,60,74,61,37,96,18,41,96,88,91,73,9,7,56,45,101,92,49,6,24,16,80,30,6,63,73,90,9,71,26,52,34,99,72,63,68,54,28,99,33,54,34,88,12,98,66,54,13,17,42
"3",95,81,101,51,34,57,82,81,98,72,23,18,26,2,37,101,75,3,37,9,93,72,82,17,57,85,59,90,25,78,2,54,62,77,11,24,98,72,96,71,93,57,31,8,35,66,41,59,24,49,20,85,41,99,13,43,100,42,91,22,55,38,70,30,56,68,9,77,53,92,62,34,80,38,83,89,36,44,76,41,84,36,86,96,11,58,73,28,87,18,4,29,21,15,68,20,16,1,9,91,60,64,97,16,11,71,24,8,94,38,69,13,96,61,15,82,16,14,57,58,39,97,48,65,90,76,4,33,12,97,76,82,62,26,76,97,15,35,32,91,36,94,85,48,27,14,8,85,66,32,59,19,89,6,5,22,88,66,66,12,39,35,61,63,32,22,62,13,69,59,46,27,70,83,84,68,96,48,52,63,100,62,50,27,88,41,14,39,59,65,78,43,96,5,16,4,71,52,58,75,20,40,99,56,10,3,78,88,22,15,8,3,73,96,84,32,22,83,69,90,90,22,34,40,33,16,36,97,70,28,67,90,51,4,9,36,53,42,60,74,15,48,9,84,59,64,93,39,32,94,11,60,83,32,10,76,29,1,59,46,11,17,84,72,73,63,62,36,50,74,35,54,75,38,81,83,94,49,52,49,80,26,57,70,19,5,35,93,49,90,64,63,6,45,27,45,72,69,94,14,71,6,24,59,93,101,84,62,88,49,76,26,83,48,55,48,41,48,80,26,8,89,38,57,60,26,23,78,44,59,80,65,93,40,51,95,72,79,80,5,98,91,22,7,84,17,33,4,45,17,21,24,94,95,35,67,28,29,59,76,16,15,23,86,64,98,62,68,92,19,6,31,34,33,14,60,87,34,4,76,16,69,34,35,18,72,29,97,73,83,21,84,88,74,29,57,20,93,37,47,57,59,78,94,46,79,85,95,27,42,63,55,53,53,75,21,28,48,45,50,91,28,101,25,83,86,51,61,74,7,10,83,7,87,63,47,52,16,31,90,100,70,25,66,33,56,12,54,30,11,2,48,15,31,54,24,85,77,34,66,85,60,16,25,18,31,8,7,45,52,39,47,69,39,28,75,15,55,24,15,23,87,92,10,35,39,11,29,14,58,75,2,37,17,75,49,2,98,5,31
"4",8,38,46,38,11,95,56,7,41,41,71,9,8,30,73,42,11,5,19,90,62,34,79,82,76,33,66,65,31,69,81,19,79,57,49,8,33,93,5,100,85,98,62,27,2,56,45,35,42,58,27,87,66,90,65,52,70,6,3,71,71,86,61,2,88,16,13,4,30,68,71,57,62,89,94,59,36,65,6,93,65,30,68,91,60,47,10,25,15,54,14,76,49,92,59,65,39,74,1,79,38,37,51,79,60,85,18,28,25,34,42,15,2,77,98,62,24,72,54,83,51,72,29,15,97,11,76,81,101,51,24,50,25,14,18,50,51,69,1,21,71,92,63,73,82,6,55,27,42,7,99,50,34,34,13,84,70,5,85,15,53,48,27,1,43,28,52,43,8,39,77,83,53,68,78,47,75,14,94,5,4,1,32,78,25,25,52,90,9,48,93,29,22,64,95,100,81,33,72,23,11,19,33,75,42,17,35,79,13,55,8,78,83,51,41,19,24,18,4,48,74,86,7,34,23,101,66,8,99,69,91,65,32,33,8,28,100,57,28,73,73,28,82,91,66,83,53,85,97,57,82,9,99,7,74,13,57,61,62,65,30,35,48,48,10,95,99,47,27,101,30,94,13,74,101,96,8,56,60,41,67,90,79,40,39,53,66,92,26,71,33,42,79,26,72,38,31,93,92,19,78,94,28,90,17,3,66,88,75,64,50,63,45,37,1,37,92,41,95,46,52,65,84,21,5,92,61,47,83,12,67,20,42,49,87,34,76,23,5,44,45,97,39,80,41,46,33,72,29,37,52,92,96,62,36,33,37,60,45,7,62,89,34,66,8,7,36,16,83,97,66,21,28,87,5,10,43,69,30,38,69,20,85,14,46,58,8,19,10,24,74,26,86,1,50,80,13,87,22,50,91,25,32,14,85,50,39,13,82,37,52,10,96,12,68,47,31,78,10,9,68,19,97,35,10,84,25,88,84,20,99,10,25,42,65,61,54,27,39,27,2,63,91,27,27,65,39,78,93,56,69,42,84,54,24,7,20,95,74,64,90,84,76,35,43,58,1,38,45,88,81,39,72,39,58,82,48,73,52,20,35,79,79,91,51,98,83,90,59,33,47,98,3,47,2,44,4,16,5,23
"5",95,30,71,80,45,9,70,61,25,45,91,34,8,50,91,84,11,94,46,92,38,2,93,24,19,19,66,8,59,13,18,56,101,46,83,3,97,36,73,50,36,93,68,101,57,69,92,10,59,28,51,63,29,1,34,22,29,47,96,73,44,16,9,88,55,55,9,95,35,36,64,48,57,46,88,42,85,61,99,16,82,15,54,99,56,19,84,15,64,17,89,25,74,83,63,66,76,71,94,92,18,55,29,98,68,90,101,27,94,70,4,80,10,101,21,48,82,6,100,62,37,42,40,65,16,3,71,73,74,76,27,89,35,52,25,82,82,68,32,20,67,14,39,59,101,52,61,30,26,66,63,63,40,35,88,65,24,18,61,61,7,66,94,37,66,3,20,2,100,34,4,39,18,5,20,87,101,53,40,31,62,69,47,28,95,88,36,100,24,43,63,38,89,5,9,52,73,39,67,100,100,86,31,1,54,101,11,58,81,77,19,12,84,22,53,23,83,26,82,34,53,32,7,88,16,12,54,34,56,43,7,34,72,67,89,24,66,90,2,29,90,19,88,48,7,80,20,61,25,23,8,4,68,91,26,53,24,68,25,101,96,61,81,45,36,20,64,96,21,15,84,2,52,44,54,83,1,65,49,10,34,82,13,94,88,17,90,54,25,47,81,7,12,46,9,46,89,85,19,66,39,72,36,72,46,48,14,86,50,3,4,68,75,91,18,66,19,2,21,1,5,32,15,46,29,79,29,28,36,81,51,82,29,44,83,46,29,81,29,17,13,31,83,45,97,73,3,78,61,86,69,63,4,86,13,6,49,64,73,92,64,75,87,60,80,56,63,1,100,84,35,30,78,84,46,79,74,82,15,65,80,99,91,82,91,34,42,92,95,19,66,42,45,16,81,53,99,11,75,61,72,75,54,96,29,57,92,11,40,69,89,52,57,51,30,21,26,8,86,1,33,63,86,93,25,15,86,8,85,27,38,20,23,95,34,70,13,2,72,34,11,58,9,82,17,11,33,37,56,6,99,27,72,21,26,46,38,86,42,2,47,91,53,6,47,37,44,92,101,77,35,91,62,69,59,64,85,56,3,48,49,53,3,64,98,27,86,33,97,60,55,83,61,86,50,70,4,55,28,37
"6",65,33,31,69,12,67,77,100,9,83,30,70,42,91,100,24,55,4,24,7,6,89,72,9,34,86,56,6,32,94,47,56,99,80,83,17,29,31,34,73,91,49,25,27,27,8,91,39,84,17,5,37,65,82,45,51,2,24,67,25,14,61,85,7,56,26,22,16,81,15,6,60,8,48,98,94,14,30,37,36,38,59,101,64,101,45,57,84,60,85,1,38,79,5,75,38,92,82,80,81,5,99,71,73,3,12,96,92,77,55,39,43,29,13,71,5,9,71,86,13,21,51,91,62,61,74,78,31,4,68,64,30,27,40,51,55,72,40,33,42,15,11,36,98,41,23,66,45,39,10,76,4,95,75,60,8,80,69,84,4,83,35,94,95,1,57,24,41,80,1,43,48,41,93,21,70,86,10,26,27,16,35,30,57,32,26,95,65,53,97,96,96,65,93,19,87,89,90,46,45,94,51,95,15,74,30,42,97,48,15,56,86,7,14,53,43,53,17,100,41,57,1,41,11,44,60,20,82,93,90,64,38,100,73,95,7,100,17,33,15,14,37,81,46,49,50,89,47,67,55,20,21,69,31,76,47,46,57,18,10,32,89,87,33,54,23,49,29,101,79,101,60,48,72,57,6,89,33,55,9,69,99,67,61,15,99,57,24,74,81,33,12,87,66,95,64,28,70,85,66,46,82,87,28,38,20,68,7,72,2,75,16,68,68,64,93,20,3,3,63,95,87,43,7,88,84,86,39,35,60,27,36,2,76,47,15,40,22,61,22,36,22,92,48,83,58,75,27,82,22,66,4,10,86,34,94,76,32,46,14,13,95,65,13,37,62,56,49,80,79,5,20,88,97,53,96,13,54,41,65,75,65,65,66,93,2,76,88,56,94,53,54,33,73,39,14,74,79,101,8,57,74,94,3,27,98,80,31,95,101,56,52,50,86,96,41,53,48,37,67,27,47,94,62,53,22,63,81,97,99,66,95,26,53,48,24,6,69,38,3,32,18,93,56,54,86,48,83,53,84,49,89,14,72,99,32,58,19,96,58,15,64,30,40,77,4,72,88,101,83,88,81,69,35,12,34,58,81,47,74,17,62,72,52,101,37,68,99,2,100,9,53,60,32,17,28,93,84,71,1
"7",39,37,92,59,95,100,70,96,86,17,35,85,32,47,44,68,29,100,74,26,101,98,84,82,64,79,16,94,101,28,8,52,77,71,52,71,64,78,17,92,8,24,50,26,82,95,49,40,16,4,34,20,56,99,43,93,23,98,8,12,59,44,91,61,43,51,83,59,44,77,58,36,89,8,18,86,79,92,23,87,19,74,86,1,90,3,35,48,92,10,53,99,48,61,53,66,37,34,1,3,24,95,18,7,31,48,57,8,1,34,34,60,9,62,42,94,53,47,41,6,92,92,21,27,78,93,63,41,2,31,38,8,91,50,66,41,37,1,35,31,19,30,66,61,97,35,86,68,82,58,6,23,41,55,32,23,87,33,12,73,89,80,57,86,18,73,42,13,47,79,14,22,45,28,81,25,68,30,46,43,79,93,93,21,42,68,71,26,88,86,20,67,93,10,13,91,34,17,76,41,33,86,40,88,2,47,83,35,43,64,54,17,20,92,26,87,55,60,2,83,77,1,44,3,42,96,78,36,100,50,25,84,24,73,22,88,64,12,47,72,41,12,79,83,91,69,22,50,3,47,22,62,57,95,13,5,7,6,17,89,59,76,100,75,28,63,20,76,21,16,33,53,37,33,7,10,15,91,51,73,17,25,77,68,51,34,42,50,6,40,54,60,22,83,44,21,68,17,93,53,55,20,9,84,16,81,44,13,28,24,30,84,34,66,20,94,89,29,95,19,88,52,23,14,20,15,36,31,94,28,55,89,31,21,5,28,43,27,37,90,56,97,58,38,87,38,63,95,91,52,27,53,84,88,14,98,12,90,68,96,61,21,84,88,50,78,86,46,1,1,39,78,60,81,91,55,5,62,82,80,82,16,98,42,33,15,84,13,94,68,78,20,22,51,65,48,3,23,50,72,44,84,24,47,82,40,55,30,64,21,8,38,62,33,100,12,31,77,64,70,85,87,51,59,82,33,28,68,93,86,20,88,41,101,69,54,2,97,47,37,3,10,42,79,86,38,84,27,26,83,25,92,47,7,79,18,55,1,34,11,46,54,91,16,41,51,13,27,79,60,87,84,5,83,57,55,76,64,75,89,25,88,28,10,45,30,75,4,70,64,1,23,56,5,52,28,99,47,38,90
"8",86,10,1,2,11,37,58,96,69,86,24,15,30,66,22,10,6,95,61,6,52,22,93,96,82,24,23,66,51,46,57,92,93,30,31,43,65,4,52,87,80,10,3,83,68,2,19,28,23,15,55,91,97,50,42,18,99,61,28,62,36,29,20,44,30,67,18,17,75,2,80,91,7,4,100,60,74,10,3,100,45,36,22,37,63,62,48,49,37,10,41,65,23,42,62,66,36,3,45,45,26,88,71,100,4,62,54,87,8,13,90,1,53,51,41,66,11,55,40,13,93,99,41,39,97,24,37,65,74,88,100,12,42,8,29,5,67,94,78,2,19,75,100,71,17,98,75,64,36,86,27,27,15,78,62,17,41,53,95,14,40,98,68,28,36,50,43,93,42,2,39,50,83,101,22,10,42,18,62,74,49,9,71,68,21,59,22,63,57,72,49,14,58,77,43,33,42,38,44,3,1,99,85,70,78,12,2,3,53,29,27,61,81,57,13,83,57,10,43,96,47,59,27,75,61,63,42,13,17,17,8,77,11,33,28,25,56,55,36,95,62,49,49,55,48,59,80,9,80,81,47,15,7,28,28,30,52,40,10,31,86,62,60,75,77,19,9,63,79,1,101,78,29,70,62,47,36,90,100,19,26,32,46,29,50,4,9,79,70,42,82,48,75,91,95,15,59,96,58,7,84,97,92,89,33,91,4,14,51,58,96,43,52,92,76,9,81,39,55,26,60,44,47,63,23,98,85,18,5,27,5,63,25,99,34,38,17,34,15,43,43,88,36,55,69,73,79,9,37,52,25,11,41,33,23,80,94,8,37,66,24,9,95,66,86,75,17,35,5,26,87,13,82,30,3,37,51,87,73,42,91,40,39,60,36,62,99,10,67,48,9,52,19,4,12,48,14,1,1,38,66,62,26,8,50,71,32,89,46,67,40,83,11,52,65,90,64,68,18,88,16,15,31,91,86,34,59,90,52,44,21,69,33,29,39,6,90,9,74,60,89,9,27,55,54,93,21,14,74,32,21,92,48,19,31,55,62,73,51,36,78,40,24,63,100,21,54,25,21,40,37,37,45,72,80,38,34,21,39,45,41,92,72,81,32,17,40,55,21,52,101,69,70,30,20,9,14,15,17,10
"9",4,66,75,34,7,47,98,62,90,59,100,64,69,51,36,76,60,87,83,9,5,52,96,24,9,47,30,95,4,9,49,46,64,91,39,36,46,44,43,72,49,33,79,67,93,38,89,62,15,68,18,5,39,49,28,11,19,13,49,78,99,95,72,92,59,60,22,58,67,58,21,25,91,46,31,8,55,15,45,30,65,94,42,75,70,11,79,48,1,34,71,40,64,94,86,8,71,8,2,41,65,67,53,1,63,5,76,100,25,21,37,92,8,65,90,44,44,72,65,67,84,86,3,27,48,59,74,67,63,89,49,72,100,63,42,9,97,48,10,77,62,15,91,22,100,73,60,31,67,7,34,4,9,75,87,41,37,100,43,99,33,27,91,65,92,13,15,84,47,68,3,15,50,90,9,57,28,44,61,68,76,98,44,25,96,1,85,80,75,70,99,86,101,7,72,20,80,47,79,10,65,52,76,5,29,68,2,28,89,61,91,10,7,60,98,33,32,36,63,33,75,18,49,32,56,101,53,45,1,54,55,1,33,80,59,63,50,89,71,100,3,16,43,49,99,24,11,26,26,20,13,35,100,68,13,24,66,30,97,2,101,91,53,100,79,7,44,81,73,18,76,26,22,25,54,30,81,55,9,87,7,62,27,74,92,3,100,33,97,81,67,2,43,5,29,42,92,69,29,86,45,69,15,51,2,64,83,86,24,47,74,94,40,20,91,25,17,93,53,23,28,94,7,67,37,7,36,97,93,92,20,42,3,19,26,45,47,3,78,68,95,63,90,56,6,55,14,61,101,4,28,65,48,28,67,45,62,91,67,33,18,48,39,33,29,34,52,20,29,99,53,90,58,5,31,49,95,22,51,37,78,67,5,28,56,18,30,96,2,27,8,61,33,56,39,29,54,17,91,98,58,45,26,44,96,34,67,78,19,32,12,51,50,27,61,78,48,95,1,31,50,88,85,87,101,61,52,77,85,54,88,69,84,49,43,40,87,8,45,11,77,53,62,20,58,81,76,17,97,59,32,97,67,92,98,81,12,59,73,2,48,78,54,68,33,4,5,35,97,7,46,83,72,97,21,76,49,25,23,93,73,92,78,82,86,93,71,66,38,75,99,88,58,58,66,71,69,22,31,30
"10",28,67,52,38,45,55,43,61,22,50,66,33,45,20,11,88,28,24,10,31,30,48,55,82,12,44,28,23,13,94,69,43,6,4,99,63,67,80,99,47,17,40,30,18,42,99,43,78,49,7,101,14,86,74,27,84,93,28,14,2,45,80,94,36,44,62,3,63,9,18,4,16,25,17,21,99,17,39,95,81,16,41,55,101,52,92,91,43,61,39,38,55,67,24,52,56,25,23,101,4,17,43,16,38,18,20,32,84,70,23,30,75,49,68,83,32,66,25,61,49,100,19,58,83,63,53,46,42,42,91,13,69,83,29,84,40,37,5,70,69,47,60,10,76,51,48,59,45,48,24,66,6,80,46,68,36,66,51,52,28,63,85,38,74,33,81,18,59,49,23,5,14,28,78,17,14,35,18,38,91,99,15,37,79,4,83,101,51,44,54,81,88,94,72,33,77,9,26,39,58,87,31,84,77,61,61,3,19,4,64,20,13,24,80,43,33,24,88,84,59,16,52,91,81,65,86,62,52,61,47,79,29,79,83,26,87,10,101,85,65,13,26,61,70,56,15,85,47,12,41,74,76,100,40,51,91,94,90,46,37,55,97,5,74,59,66,44,33,72,23,2,1,8,51,34,60,15,63,53,4,23,95,55,24,94,13,16,43,6,24,33,7,68,52,18,89,85,64,43,93,9,2,22,56,52,67,65,59,61,69,43,17,41,18,73,67,75,92,90,58,91,89,32,67,34,11,10,21,31,55,84,95,67,49,25,91,100,8,7,91,89,42,20,33,78,4,17,10,14,82,47,22,36,34,54,11,88,82,14,58,11,36,35,27,22,78,26,43,68,94,99,10,26,45,66,84,53,64,81,69,11,80,49,7,53,95,48,76,38,55,92,69,64,72,13,69,52,99,63,44,28,85,64,17,99,33,43,61,1,28,64,63,89,95,50,21,90,91,42,90,17,61,34,97,11,51,97,47,92,71,90,84,40,93,79,32,3,8,69,25,20,82,91,39,16,62,19,10,6,86,68,22,1,69,85,80,48,89,6,52,86,15,28,94,44,32,101,48,59,49,91,10,2,70,65,74,92,17,69,74,91,98,49,69,15,89,68,81,71,67,69,53,36,44,33,50,39,23,61,93
